id,tarefa,equipamento,especialidade,inicio,fim,duracao,penalidade
1,Revisão de motor,Carro,Mecânica,1305,1306,1,48
2,Revisão elétrica,Jet Ski,Mecânica,1136,1140,4,93
3,Revisão elétrica,Carro,Elétrica,716,719,3,83
4,Revisão de motor,Rolo Compressor,Elétrica,1270,1273,3,10
5,Revisão elétrica,Rolo Compressor,Elétrica,497,498,1,87
6,Alinhamento,Quadriciclo,Mecânica,1393,1397,4,77
7,Revisão elétrica,Guindaste,Elétrica,1930,1931,1,95
8,Revisão elétrica,Quadriciclo,Mecânica,54,57,3,85
9,Revisão elétrica,Rolo Compressor,Elétrica,1166,1167,1,11
10,Revisão elétrica,Quadriciclo,Mecânica,318,322,4,49
11,Revisão elétrica,Jet Ski,Elétrica,1795,1799,4,25
12,Revisão elétrica,Rolo Compressor,Mecânica,1017,1018,1,63
13,Alinhamento,Quadriciclo,Elétrica,850,851,1,25
14,Revisão de motor,Quadriciclo,Elétrica,712,715,3,27
15,Alinhamento,Quadriciclo,Elétrica,1634,1638,4,79
16,Revisão elétrica,Guindaste,Mecânica,132,136,4,48
17,Revisão de motor,Quadriciclo,Elétrica,402,406,4,82
18,Revisão elétrica,Jet Ski,Elétrica,203,207,4,54
19,Alinhamento,Jet Ski,Mecânica,29,31,2,61
20,Alinhamento,Quadriciclo,Elétrica,1098,1100,2,97
21,Alinhamento,Rolo Compressor,Mecânica,1475,1477,2,73
22,Alinhamento,Rolo Compressor,Mecânica,502,504,2,53
23,Alinhamento,Guindaste,Elétrica,788,789,1,19
24,Revisão elétrica,Rolo Compressor,Elétrica,1195,1197,2,90
25,Revisão de motor,Quadriciclo,Elétrica,87,89,2,13
26,Alinhamento,Guindaste,Mecânica,1613,1615,2,14
27,Revisão elétrica,Quadriciclo,Elétrica,1567,1569,2,67
28,Revisão elétrica,Guindaste,Mecânica,277,278,1,54
29,Alinhamento,Quadriciclo,Elétrica,1993,1995,2,76
30,Revisão elétrica,Jet Ski,Mecânica,781,785,4,36
31,Alinhamento,Carro,Elétrica,505,508,3,22
32,Revisão elétrica,Carro,Elétrica,1426,1430,4,46
33,Revisão elétrica,Quadriciclo,Mecânica,1050,1054,4,13
34,Alinhamento,Guindaste,Elétrica,121,122,1,56
35,Alinhamento,Quadriciclo,Mecânica,554,558,4,43
36,Alinhamento,Jet Ski,Elétrica,718,719,1,13
37,Revisão elétrica,Jet Ski,Mecânica,1275,1276,1,65
38,Alinhamento,Jet Ski,Mecânica,757,759,2,52
39,Revisão elétrica,Quadriciclo,Mecânica,1218,1221,3,48
40,Revisão de motor,Carro,Elétrica,1486,1487,1,49
41,Alinhamento,Quadriciclo,Mecânica,1536,1537,1,55
42,Revisão de motor,Rolo Compressor,Elétrica,637,638,1,77
43,Alinhamento,Guindaste,Elétrica,172,174,2,23
44,Alinhamento,Quadriciclo,Elétrica,915,919,4,16
45,Alinhamento,Jet Ski,Elétrica,158,159,1,27
46,Revisão de motor,Rolo Compressor,Elétrica,1381,1384,3,95
47,Alinhamento,Jet Ski,Mecânica,185,187,2,58
48,Revisão elétrica,Quadriciclo,Mecânica,1163,1164,1,37
49,Alinhamento,Quadriciclo,Mecânica,1045,1046,1,22
50,Alinhamento,Rolo Compressor,Mecânica,829,833,4,26
51,Alinhamento,Jet Ski,Elétrica,1349,1352,3,13
52,Revisão elétrica,Carro,Mecânica,65,66,1,92
53,Revisão de motor,Jet Ski,Mecânica,41,45,4,15
54,Alinhamento,Jet Ski,Elétrica,166,167,1,46
